clean_text,label
wall st bear claw back black reuters reuters short seller wall street dwindling band ultra cynic seeing green,2
carlyle look toward commercial aerospace reuters reuters private investment firm carlyle group reputation making well timed occasionally controversial play defense industry quietly placed bet another part market,2
oil economy cloud stock outlook reuters reuters soaring crude price plus worry economy outlook earnings expected hang stock market next week depth summer doldrums,2
iraq halt oil export main southern pipeline reuters reuters authority halted oil export flow main pipeline southern iraq intelligence showed rebel militia could strike infrastructure oil official said saturday,2
oil price soar time record posing new menace u economy afp afp tearaway world oil price toppling record straining wallet present new economic menace barely three month u presidential election,2
stock end near year low reuters reuters stock ended slightly higher friday stayed near low year oil price surged past barrel offsetting positive outlook computer maker dell inc dell,2
money fund fell latest week ap ap asset nation retail money market mutual fund fell billion latest week trillion investment company institute said thursday,2
fed minute show dissent inflation usatoday com usatoday com retail sale bounced back bit july new claim jobless benefit fell last week government said thursday indicating economy improving midsummer slump,2
safety net forbes com forbes com earning ph sociology danny bazil riley started work general manager commercial real estate firm annual base salary soon financial planner stopped desk drop brochure insurance benefit available employer buying insurance furthest thing mind say riley,2
wall st bear claw back black new york reuters short seller wall street dwindling band ultra cynic seeing green,2
oil economy cloud stock outlook new york reuters soaring crude price plus worry economy outlook earnings expected hang stock market next week depth summer doldrums,2
need opec pump iran gov tehran reuters opec nothing douse scorching oil price market already oversupplied million barrel per day bpd crude iran opec governor said saturday warning price could fall sharply,2
non opec nation output purnomo jakarta reuters non opec oil exporter consider increasing output cool record crude price opec president purnomo yusgiantoro said sunday,2
google ipo auction rocky start washington new york reuters auction google inc highly anticipated initial public offering got rocky start friday web search company sidestepped bullet u security regulator,2
dollar fall broadly record trade gap new york reuters dollar tumbled broadly friday data showing record u trade deficit june cast fresh doubt economy recovery ability draw foreign capital fund growing gap,2
rescuing old saver think may need help elderly relative finance shy money talk soon,2
kid rule back school purchasing power kid big part back school season become huge marketing phenomenon,2
market head toward value fund little cause celebration stock market day investor value focused mutual fund reason feel bit smug lost less folk stuck growth,2
u trade deficit swell june u trade deficit exploded record bn oil cost drove import higher according latest figure,2
shell could target total oil giant shell could bracing takeover attempt possibly french rival total press report claim,2
google ipo face playboy slip bidding get underway google public offering despite last minute worry interview boss playboy magazine,2
eurozone economy keep growing official figure show nation eurozone economy continues grow warning may slow later year,2
expansion slows japan economic growth japan slows country experience drop domestic corporate spending,2
rand fall shock sa rate cut interest rate trimmed south african central bank lack warning hit rand surprise market,2
car price across board cost buying new second hand car fell sharply past five year new survey found,2
south korea lower interest rate south korea central bank cut interest rate quarter percentage point bid drive growth economy,2
google auction begin friday auction share google web search engine could floated much bn take place friday,2
hp share tumble profit news hewlett packard share fall disappointing third quarter profit firm warns final quarter also fall short expectation,2
mauritian textile firm cut job one oldest textile operator indian ocean island mauritius last week shut seven factory cut job,2
chad seek refugee aid imf chad asks imf loan pay looking refugee conflict torn darfur western sudan,2
japan nuclear firm shuts plant company running japanese nuclear plant hit fatal accident close reactor safety check,2
veteran inventor market float trevor baylis veteran inventor famous creating freeplay clockwork radio planning float company stock market,2
saudi arabia open oil tap saudi arabia say ready push extra million barrel day oil market help reverse surging price,2
saudi phone sector get bn lift group led uae etisalat plan spend bn expansion winning two mobile phone licence saudi arabia,2
indian fill rail skill shortage network rail fly specialist indian engineer work west coast mainline uk skill shortage,2
steady go bedford scientist nitromed inc hope experimental drug cure heart disease someday lately focus mundane matter,2
google ipo type confusing secrecy submitted bid buy share google inc computer search company giant auction style initial public offering could turn good news bad news,2
bargain hunter paradise massachusetts bargain hunter showed drove shopped hard yesterday sale tax holiday buying everything treadmill snow blower candle chandelier crediting percent tax break bringing store,2
researcher seek untangle e mail thread e mail victim success conclusion ibm corp researcher cambridge spent nearly decade conducting field test ibm company employee work use electronic mail clear e mail become internet killer application,2
microsoft corp kinder corporate culture even genius mess bill gate brilliant technologist cofounded microsoft guided greatness size historical consequence blundered terrorized underling temper parceled praise like scrooge gave charity lash inspired necessary aggressiveness beat competition thought,2
letter target abuser legal weapon share outrage expressed columnist steve bailey summer sizzler quot aug killing city poor neighborhood need share ignorance argues renewal called assault weapon ban claiming otherwise uzi ak could flooding street quot,2
somewhere gleam gloom president bush saying u economy turned corner quot democratic presidential candidate senator john f kerry wake month poor job report quipped like u turn,2
technology company sue five ex employee marlborough based technology company suing five former employee including three senior manager allegedly conspiring employer working opening competing business,2
grant aid lynn central square central square lynn looking bit brighter new sidewalk curb fence light landscaping road improvement planned gateway artisan block key area square state grant money given lynn last week,2
state grant aid lynn bank give salem k central square lynn looking bit brighter new sidewalk curb fence light landscaping road improvement planned gateway artisan block key area square state grant money given lynn last week,2
new legal chapter flameout lawsuit gary winnick former chief global crossing refocuses attention mr winnick knew company finance imploded,2
russia oil superpower flex muscle russia emerging superpower reason less nuclear weapon oil,2
switching title gear dell kevin b rollins new chief executive dell talk dell transitory slip customer service see broader technology recovery taking place,2
sale ultimate status symbol country need cash rich people dying show wealth mr stein proposes unique solution government sell title nobility,2
quality get swept away quality distribution hammered reporting large loss second quarter,2
making insurer pay hurricane charley blow house make insurance company pay,2
delightful dell company result show grim tech world dell,2
chrysler bling king tough year detroit troubled carmaker back thanks maverick designer car dazzling hip hop crowd,2
cool pool hot deck american spending tricking place swim look new wave accessory,2
age doom six geek digital nightmare changed culture get far creepier,2
hip hop online shop celebrity fashion booming webpreneurs bringing main street,2
stoking steamroller recording artist channel american middle class taste quite like chip davis best selling band,2
coming rescue got unique problem worry find financial planner every specialized need,2
new customer town today customer increasingly demanding asia elsewhere world henry astorga describes complex reality faced today marketer includes much higher expectation used today customer want performance want,2
barrel monkey edition note philippine election well election time republic philippine mean monkey rolling around political barrel much fun laughing head strange going characterize democratic process loosely based american model de facto look like fellini movie crossed tom jerry cartoon column includes useful election year glossary,2
oldsmobile final parking lot general motor dropped oldsmobile four brand paradox gm face name product image positioning consumer added brand little hope rebranding,2
job belong white man asian minority affirmative action quest parity work although smattering chinese filipino japanese indian thai others may crow seeing kind sitting prominent position corporation organization usa accomplishment become mere cultural high five ritualistic chest thumping goaded impishly patronized mainstream society milder gentler term white dominated populace,2
downhome pinoy blue intersecting life path heartbreak song blue alive well philippine evidenced appreciation pinoy blue band lampano alley penned columnist clarence henderson counterpoint usual economics business culture fare,2
